user_id,item_id,rating,timestamp
0,868,5,1000000000
0,1425,5,1000000269
0,837,5,1000000604
0,526,5,1000001505
0,161,5,1000002433
0,1168,5,1000003076
0,496,5,1000003208
0,393,4,1000004142
0,1726,5,1000004786
0,1824,4,1000005603
0,1400,4,1000005808
0,637,5,1000006412
0,1664,3,1000006574
0,1687,5,1000006651
0,423,4,1000007344
0,1534,3,1000007380
0,222,5,1000008089
0,1011,3,1000008131
0,1429,5,1000009083
0,325,4,1000009094
0,1192,5,1000009600
0,131,4,1000010480
0,706,4,1000010969
0,128,5,1000011208
0,95,3,1000011587
0,1467,3,1000012196
0,471,5,1000012793
0,1280,4,1000013540
0,1468,4,1000014119
0,142,5,1000014569
0,1507,4,1000015006
0,593,5,1000015471
0,905,4,1000015941
0,191,4,1000016206
0,1661,3,1000016633
0,1108,5,1000017217
0,1091,5,1000017931
1,1818,3,1000018024
1,1108,5,1000018662
1,837,4,1000019183
1,982,4,1000019782
1,1142,5,1000020651
1,1622,4,1000020965
1,1111,5,1000021712
1,1779,5,1000022207
1,423,4,1000023008
1,1467,3,1000023820
1,645,4,1000024070
1,1034,5,1000024760
1,1478,4,1000025124
1,204,4,1000025884
1,1919,4,1000026807
1,1037,5,1000027298
1,1038,4,1000028283
1,527,5,1000029029
1,1468,5,1000029837
1,1924,4,1000030347
1,631,5,1000030507
1,1182,4,1000031246
1,462,5,1000031289
1,1266,4,1000031845
1,478,5,1000032705
1,376,5,1000033441
1,0,4,1000034240
1,1058,5,1000034642
1,363,3,1000035323
1,1433,3,1000035891
1,1936,4,1000036795
1,1296,4,1000037585
1,377,5,1000038008
1,54,4,1000038356
1,1485,5,1000039347
1,889,5,1000040215
1,1920,4,1000040950
1,1097,5,1000041838
1,297,5,1000042297
1,939,4,1000042318
1,368,5,1000042972
1,1764,3,1000043637
1,1367,3,1000043962
1,647,4,1000044810
1,1061,4,1000045063
1,1323,4,1000045535
1,1533,4,1000046208
1,161,4,1000047122
1,65,5,1000047655
1,213,3,1000048532
1,775,3,1000049431
1,973,4,1000050373
1,246,5,1000051261
1,815,3,1000051836
1,932,5,1000052616
2,837,3,1000052796
2,667,5,1000052827
2,1901,4,1000053793
2,199,5,1000054468
2,683,4,1000054722
2,1986,5,1000055030
2,140,4,1000055833
2,370,4,1000056614
2,1969,3,1000056859
2,1033,3,1000056941
2,257,3,1000057335
2,493,3,1000058333
2,423,5,1000058605
2,1108,5,1000058684
2,1643,4,1000058790
2,834,3,1000059335
2,1718,5,1000059444
2,1475,4,1000059856
2,165,3,1000060113
2,1558,3,1000060295
2,810,4,1000061280
2,1467,4,1000061462
2,365,4,1000062313
2,450,4,1000062895
2,1505,3,1000063703
2,1587,3,1000063718
2,778,5,1000064146
2,1791,4,1000065136
2,971,4,1000065778
2,1237,5,1000066154
2,1040,3,1000066854
2,1303,4,1000067480
2,1807,5,1000068360
2,1480,3,1000068812
2,1114,5,1000069075
2,1346,4,1000069402
2,1282,3,1000070196
2,903,4,1000070905
2,1312,4,1000071723
2,915,3,1000072459
2,1594,3,1000073087
2,1927,5,1000073387
2,1921,4,1000073413
2,1690,5,1000074155
2,1281,5,1000074815
2,1585,4,1000075317
2,392,4,1000075842
2,996,5,1000075976
2,500,5,1000076576
3,1429,5,1000076827
3,837,5,1000076963
3,989,4,1000077369
3,1169,4,1000078209
3,524,4,1000079049
3,1397,4,1000079443
3,423,4,1000079514
3,1530,4,1000079644
3,142,4,1000079964
3,1523,5,1000079999
3,1215,5,1000080072
3,653,4,1000080650
3,1765,5,1000081411
3,1519,3,1000082265
3,204,3,1000082877
3,1548,4,1000083854
3,1198,4,1000084073
3,648,4,1000084865
3,241,3,1000085000
3,1433,3,1000085362
3,1108,3,1000086321
3,441,4,1000086416
3,1127,4,1000086504
3,1957,5,1000087030
3,976,4,1000087217
3,1042,5,1000087234
3,328,4,1000087834
3,1088,3,1000088744
3,324,5,1000089106
3,1673,4,1000089904
3,526,3,1000090801
3,1204,4,1000091045
3,1197,5,1000091639
4,837,4,1000092548
4,1309,4,1000093343
4,1886,4,1000093577
4,1073,4,1000093798
4,246,5,1000093911
4,1070,4,1000094282
4,1108,4,1000094368
4,1380,4,1000094672
4,1058,3,1000095027
4,1130,4,1000095506
4,599,5,1000096154
4,463,4,1000096532
4,1468,4,1000097099
4,1779,4,1000097241
4,1174,3,1000097468
4,526,5,1000098366
4,415,3,1000098694
4,601,5,1000099661
4,423,4,1000099724
4,1857,5,1000099818
4,1855,5,1000100620
4,1018,4,1000101506
4,60,4,1000101932
4,1188,4,1000102372
4,1165,4,1000103000
4,39,4,1000103975
4,1661,3,1000104039
4,1265,5,1000104142
4,1467,3,1000104266
4,1038,5,1000105130
4,1263,4,1000105732
4,540,5,1000106512
4,1956,4,1000107039
4,826,5,1000107111
4,294,5,1000107589
4,95,5,1000108421
4,1314,4,1000109229
4,1977,4,1000109666
4,1739,5,1000110413
4,1398,5,1000110834
4,1987,5,1000111574
4,1433,5,1000112496
4,696,4,1000112845
4,1244,5,1000113547
4,133,5,1000114141
4,435,4,1000114727
4,887,4,1000115147
4,387,4,1000115370
4,1897,5,1000115539
4,1997,5,1000115647
4,747,4,1000115956
4,1406,4,1000116370
4,871,5,1000117093
4,271,5,1000117779
5,837,4,1000118423
5,1006,4,1000119267
5,1108,3,1000120218
5,1050,3,1000120923
5,1024,5,1000121743
5,1027,5,1000121746
5,1564,5,1000122451
5,1870,5,1000123022
5,423,4,1000123297
5,1029,4,1000124280
5,1619,3,1000124909
5,370,3,1000124988
5,1191,3,1000124994
5,828,5,1000125066
5,150,4,1000125324
5,1110,5,1000126097
5,1083,5,1000126894
5,367,5,1000127421
5,1230,5,1000127812
5,1120,5,1000128212
5,1551,4,1000128955
5,737,5,1000129145
6,9,5,1000129674
6,837,3,1000129694
6,283,4,1000129892
6,1913,5,1000129991
6,30,4,1000130952
6,1062,4,1000131280
6,822,4,1000131606
6,1879,4,1000132585
6,115,4,1000133564
6,1964,3,1000134551
6,1934,4,1000134980
6,397,3,1000135297
6,1618,4,1000136153
6,23,3,1000136460
6,423,3,1000136867
6,294,3,1000136937
6,399,4,1000137211
6,1129,5,1000137337
6,252,5,1000138147
6,1427,5,1000138498
6,1724,5,1000138925
6,1841,4,1000139707
7,837,5,1000139924
7,1970,4,1000140860
7,423,4,1000140991
7,1824,3,1000141454
7,1332,4,1000142131
7,1436,3,1000142401
