user_id,movie_id,ctr_score
0,51,0.96460176
0,88,0.95885795
0,106,0.94729394
0,144,0.9464675
0,49,0.9420439
0,48,0.9381181
0,116,0.9325963
0,75,0.9252256
0,0,0.91161567
0,10,0.9082728
0,129,0.89941037
0,111,0.89456415
0,186,0.89074594
0,46,0.88933724
0,155,0.8884543
0,9,0.8770295
0,159,0.86568135
0,60,0.864807
0,16,0.8550345
0,71,0.84871894
0,25,0.8480194
0,39,0.8478916
0,176,0.826193
0,131,0.8247167
0,27,0.8196025
0,103,0.81740034
0,165,0.8157174
0,56,0.81349945
0,36,0.80745995
0,5,0.8023714
0,133,0.79867285
0,65,0.7970924
0,21,0.7955789
0,93,0.7852433
0,124,0.784235
0,123,0.7825778
0,15,0.78141636
0,101,0.7796633
0,193,0.7795785
0,132,0.77673644
0,6,0.77550185
0,139,0.77373147
0,91,0.7726057
0,136,0.7705523
0,199,0.7685149
0,35,0.767734
0,135,0.7666653
0,110,0.76516473
0,81,0.7636226
0,80,0.76189524
0,38,0.75901186
0,30,0.75839645
0,33,0.7581126
0,174,0.7563263
0,120,0.75588614
0,170,0.7558218
0,145,0.75506896
0,67,0.7528309
0,104,0.75276136
0,23,0.750429
0,149,0.7490847
0,125,0.7484413
0,157,0.7466365
0,128,0.7442724
0,31,0.74372405
0,141,0.7432649
0,134,0.7429684
0,72,0.74276584
0,158,0.741283
0,17,0.74117225
0,45,0.73927486
0,1,0.73810256
0,29,0.73241884
0,50,0.731263
0,28,0.72943175
0,197,0.72480094
0,12,0.7239832
0,137,0.7231638
0,84,0.72190875
0,94,0.7198332
0,96,0.71840376
0,105,0.71837914
0,20,0.7178861
0,107,0.7112524
0,138,0.7111508
0,143,0.70783454
0,40,0.70296276
0,55,0.7021717
0,177,0.7021516
0,100,0.7009468
0,87,0.69622403
0,97,0.6950643
0,7,0.6949741
0,79,0.6889604
0,182,0.687614
0,169,0.6854952
0,68,0.67936367
0,76,0.67380685
0,148,0.6733081
0,122,0.67114466
0,57,0.66749036
0,70,0.6652407
0,58,0.6645404
0,113,0.6569953
0,34,0.65586936
0,102,0.6498961
0,108,0.648472
0,13,0.645295
0,83,0.6450855
0,112,0.6448208
0,66,0.6440939
0,188,0.64391685
0,150,0.636399
0,24,0.6217141
0,184,0.62069744
0,161,0.6202614
0,22,0.61484444
0,3,0.6141075
0,118,0.61365825
0,192,0.6012421
0,42,0.60001206
0,195,0.586856
0,98,0.58415365
0,178,0.58069587
0,152,0.580616
0,109,0.5660942
0,78,0.5629414
0,162,0.56243783
0,44,0.5592863
0,41,0.55767894
0,194,0.5422715
0,142,0.5389832
0,4,0.52899796
0,164,0.5267118
0,189,0.51542896
0,171,0.51446813
0,181,0.5084406
0,82,0.50572586
0,2,0.50569975
0,130,0.50392985
0,183,0.5033487
0,140,0.5027429
0,191,0.4907836
0,61,0.47927737
0,119,0.47876117
0,59,0.47567648
0,8,0.47344172
0,26,0.47181582
0,156,0.46424705
0,179,0.46311072
0,153,0.4609349
0,190,0.4586059
0,53,0.45774382
0,196,0.45503572
0,166,0.45357424
0,47,0.45331517
0,172,0.44756502
0,86,0.4414807
0,74,0.42469952
0,37,0.42052436
0,77,0.41242877
0,92,0.39937884
0,117,0.3965955
0,185,0.38735965
0,198,0.3827526
0,43,0.3825457
0,147,0.37791038
0,127,0.33275652
0,115,0.312443
0,52,0.2998484
0,151,0.29983982
0,146,0.29572386
0,14,0.2809715
0,114,0.26917487
0,126,0.24987662
0,19,0.24511263
0,69,0.24451602
0,18,0.24163254
0,160,0.23232399
0,180,0.21592668
0,54,0.17934121
0,167,0.17616338
0,73,0.14302869
0,11,0.13922776
0,168,0.13635772
0,89,0.13619657
0,62,0.12881732
0,187,0.11738698
0,63,0.11695193
0,32,0.11497948
0,90,0.09753758
0,121,0.096712425
0,154,0.089807585
0,99,0.0896562
0,173,0.043930978
0,175,0.043081786
0,95,0.040515456
0,85,0.037443705
0,163,0.020227397
0,64,0.016954215
