user_id,target_movie_id,ctr_score
6039,257,0.92755276
6039,52,0.9219659
6039,288,0.89698136
6039,50,0.8951472
6039,298,0.8944051
6039,240,0.89151603
6039,299,0.87242764
6039,104,0.87096363
6039,108,0.86847293
6039,119,0.85061634
6039,157,0.8270574
6039,112,0.8122405
6039,41,0.80612487
6039,290,0.7870421
6039,29,0.7846393
6039,226,0.77802974
6039,254,0.77710646
6039,34,0.7552756
6039,229,0.74623024
6039,25,0.73305756
6039,266,0.7244082
6039,185,0.7234269
6039,206,0.7120107
6039,241,0.7034874
6039,130,0.69981104
6039,99,0.69707644
6039,32,0.68319577
6039,40,0.6770269
6039,256,0.66110283
6039,285,0.65833795
6039,208,0.65522146
6039,95,0.64870065
6039,1,0.6461773
6039,57,0.6454872
6039,292,0.6414655
6039,194,0.64139515
6039,94,0.623547
6039,36,0.6194055
6039,47,0.61632746
6039,259,0.61171126
6039,17,0.59933585
6039,217,0.5976901
6039,209,0.59723514
6039,28,0.59686905
6039,117,0.5938795
6039,79,0.5904034
6039,162,0.5885451
6039,144,0.58495414
6039,201,0.58128065
6039,166,0.5753479
6039,124,0.57484007
6039,45,0.57283103
6039,107,0.5672388
6039,282,0.563953
6039,132,0.5431801
6039,258,0.53750277
6039,21,0.5335992
6039,227,0.5323696
6039,26,0.5228978
6039,171,0.52222097
6039,6,0.5219653
6039,135,0.5215047
6039,210,0.51306397
6039,145,0.50873935
6039,245,0.5085628
6039,223,0.5030631
6039,170,0.4978841
6039,121,0.49061984
6039,149,0.48642063
6039,189,0.48400208
6039,80,0.4810747
6039,173,0.46752486
6039,142,0.4589145
6039,277,0.45813692
6039,200,0.45808038
6039,291,0.4562174
6039,68,0.45175236
6039,71,0.45112747
6039,92,0.44943234
6039,159,0.4443854
6039,294,0.44133064
6039,51,0.43643114
6039,113,0.43313465
6039,89,0.42828432
6039,275,0.4266631
6039,81,0.42163208
6039,125,0.41337857
6039,262,0.41296664
6039,16,0.40303952
6039,39,0.40231526
6039,255,0.39852905
6039,274,0.3852341
6039,137,0.38374746
6039,97,0.38017833
6039,243,0.3711098
6039,175,0.36765426
6039,72,0.36651412
6039,139,0.3583277
6039,54,0.35750023
6039,146,0.35735726
6039,102,0.35340002
6039,61,0.35060632
6039,14,0.3503771
6039,273,0.3491114
6039,35,0.34643692
6039,30,0.34255585
6039,247,0.33495715
6039,67,0.3336716
6039,84,0.3303376
6039,220,0.33026654
6039,192,0.32324576
6039,151,0.31929532
6039,109,0.31759584
6039,11,0.31712177
6039,76,0.31518662
6039,43,0.31317756
6039,224,0.31144205
6039,280,0.31068558
6039,184,0.3081209
6039,178,0.30549115
6039,260,0.29670855
6039,133,0.29113957
6039,156,0.28805473
6039,49,0.28423727
6039,154,0.27928638
6039,82,0.27768683
6039,225,0.27487
6039,150,0.27233526
6039,187,0.26402587
6039,216,0.25960812
6039,77,0.25958684
6039,197,0.25876343
6039,218,0.24488509
6039,286,0.24329463
6039,37,0.23072624
6039,18,0.23069175
6039,129,0.22974269
6039,143,0.22769205
6039,193,0.22646202
6039,293,0.22325152
6039,263,0.21825019
6039,103,0.20951034
6039,211,0.20737046
6039,120,0.20666544
6039,265,0.19762833
6039,123,0.18985945
6039,236,0.18509023
6039,182,0.18172547
6039,158,0.18071169
6039,126,0.17686607
6039,56,0.16980729
6039,85,0.16976748
6039,59,0.16321725
6039,7,0.1630853
6039,198,0.14382587
6039,140,0.14265014
6039,13,0.13955015
6039,239,0.1308774
6039,127,0.12617952
6039,114,0.12598434
6039,214,0.118329056
6039,160,0.117619336
6039,232,0.11052259
6039,296,0.105483666
6039,202,0.10270709
6039,253,0.102029055
6039,101,0.101622984
6039,289,0.10084077
6039,230,0.097976
6039,22,0.09592919
6039,183,0.095826596
6039,281,0.095762625
6039,24,0.094802245
6039,276,0.08980838
6039,136,0.08923572
6039,161,0.08890328
6039,279,0.08724885
6039,83,0.087139316
6039,10,0.08644303
6039,105,0.08601545
6039,69,0.085076414
6039,204,0.08363153
6039,233,0.08338537
6039,147,0.08294694
6039,179,0.08251954
6039,3,0.0816994
6039,33,0.07884333
6039,2,0.072884835
6039,264,0.069406494
6039,196,0.06874828
6039,234,0.065910734
6039,295,0.06481308
6039,251,0.062312186
6039,246,0.061996568
6039,172,0.060913898
6039,287,0.060327977
6039,213,0.05897936
6039,110,0.0586659
6039,31,0.058129154
6039,219,0.057279628
6039,271,0.05560585
6039,98,0.05340956
6039,62,0.05317827
6039,152,0.052940577
6039,106,0.051623937
6039,267,0.05079952
6039,44,0.05078239
6039,42,0.050703123
6039,231,0.05014241
6039,235,0.049573664
6039,58,0.048080806
6039,242,0.04804197
6039,177,0.04749453
6039,111,0.045714162
6039,248,0.04517594
6039,203,0.04346519
6039,205,0.042834796
6039,138,0.042264417
6039,272,0.04200865
6039,118,0.04175953
6039,38,0.04079779
6039,87,0.039509878
6039,116,0.038332757
6039,297,0.03805248
6039,88,0.037778184
6039,73,0.037311874
6039,284,0.03724627
6039,5,0.036788605
6039,261,0.036739238
6039,75,0.036735106
6039,48,0.036413204
6039,169,0.035956547
6039,46,0.03540359
6039,134,0.035178743
6039,163,0.034587495
6039,4,0.033321537
6039,9,0.031780932
6039,165,0.03146387
6039,191,0.031145928
6039,19,0.030613067
6039,278,0.030165186
6039,90,0.029735064
6039,228,0.028841075
6039,250,0.028628914
6039,148,0.027547874
6039,23,0.026856199
6039,167,0.026463974
6039,153,0.025183745
6039,15,0.024798721
6039,131,0.023407971
6039,270,0.022310164
6039,60,0.022189086
6039,180,0.02103034
6039,195,0.020384388
6039,93,0.02034206
6039,96,0.019984797
6039,199,0.019714385
6039,190,0.01909421
6039,212,0.01890356
6039,181,0.018066704
6039,12,0.016985597
6039,269,0.016625756
6039,27,0.0149391815
6039,66,0.014728669
6039,8,0.011601812
6039,74,0.011581937
6039,64,0.01133389
6039,168,0.011329798
6039,188,0.010071244
6039,122,0.009935049
6039,78,0.009919147
6039,186,0.0096358
6039,53,0.0096309865
6039,249,0.009380659
6039,20,0.0082285525
6039,222,0.008100505
6039,55,0.0077995835
6039,252,0.00760098
6039,268,0.0074483166
6039,128,0.0064912913
6039,141,0.00627842
6039,91,0.005996381
6039,100,0.005678353
6039,283,0.005536073
6039,155,0.004752367
6039,244,0.004712649
6039,221,0.0044031763
6039,86,0.004342254
6039,215,0.0040724846
6039,176,0.004050716
6039,70,0.0037188348
6039,115,0.0034341179
6039,207,0.0030396206
6039,174,0.0028177022
6039,63,0.0027629277
6039,164,0.0023387268
6039,65,0.0023238643
6039,238,0.0015301112
6039,237,0.0013182076
